36	59	103	109	122	132	157	179	201	191	168	136	110	105	89	80	75	75	9	3	
22	35	91	95	99	113	141	144	197	172	153	136	128	53	47	38	27	15	11	2	
69	79	98	127	141	151	158	179	175	153	143	107	59	53	16	8	5	2	6	6	
98	116	117	124	131	173	177	196	199	199	193	183	158	78	78	55	46	25	6	8	
17	18	26	42	62	138	187	195	200	191	181	167	133	119	93	78	47	33	8	1	
26	38	43	81	84	90	115	116	179	166	162	136	87	87	31	11	4	2	11	2	
19	22	26	47	53	95	134	160	197	179	167	147	118	75	66	63	42	38	7	9	
3	35	37	52	87	99	104	154	178	172	165	161	152	148	141	131	73	15	9	5	
82	91	92	109	119	120	178	200	136	135	104	97	86	81	57	40	34	19	4	2	
9	62	68	118	142	144	154	174	162	155	152	99	88	81	80	72	61	37	1	5	
29	48	79	126	128	133	156	172	185	176	174	168	160	129	129	110	76	31	11	8	
55	59	84	92	139	167	176	186	166	161	143	131	102	99	95	82	52	1	1	2	
14	19	30	40	106	112	127	162	171	170	170	168	83	57	55	45	12	2	3	6	
59	68	94	160	178	179	185	192	195	191	166	160	146	135	99	83	29	2	11	2	
40	47	63	121	145	170	192	199	190	139	129	125	114	54	53	49	34	12	10	0	
23	69	69	73	92	137	193	200	178	175	164	157	151	143	76	75	47	29	6	7	
21	34	41	42	114	119	178	179	185	121	115	92	47	36	30	27	27	5	2	8	
